,match_id,First Innings,Second Innings,First Innings Score,Second Innings Score,Winner,Batting wins,Bowling wins
262,263,Delhi Daredevils,Royal Challengers Bangalore,160,161.0,Royal Challengers Bangalore,0,1
263,264,Pune Warriors,Chennai Super Kings,141,145.0,Chennai Super Kings,0,1
264,265,Deccan Chargers,Kochi Tuskers Kerala,129,74.0,Deccan Chargers,1,0
265,266,Kolkata Knight Riders,Delhi Daredevils,148,131.0,Kolkata Knight Riders,1,0
266,267,Mumbai Indians,Rajasthan Royals,94,95.0,Rajasthan Royals,0,1
267,268,Royal Challengers Bangalore,Pune Warriors,181,155.0,Royal Challengers Bangalore,1,0
268,269,Delhi Daredevils,Kochi Tuskers Kerala,157,119.0,Delhi Daredevils,1,0
269,270,Kings XI Punjab,Kolkata Knight Riders,119,120.0,Kolkata Knight Riders,0,1
270,271,Pune Warriors,Rajasthan Royals,143,144.0,Rajasthan Royals,0,1
271,272,Chennai Super Kings,Deccan Chargers,165,146.0,Chennai Super Kings,1,0
272,273,Mumbai Indians,Kings XI Punjab,159,136.0,Mumbai Indians,1,0
273,274,Delhi Daredevils,Kochi Tuskers Kerala,140,141.0,Kochi Tuskers Kerala,0,1
274,275,Kolkata Knight Riders,Deccan Chargers,169,149.0,Kolkata Knight Riders,1,0
275,276,Rajasthan Royals,Chennai Super Kings,147,149.0,Chennai Super Kings,0,1
276,277,Mumbai Indians,Pune Warriors,160,139.0,Mumbai Indians,1,0
277,278,Kochi Tuskers Kerala,Kolkata Knight Riders,156,139.0,Kochi Tuskers Kerala,1,0
278,279,Deccan Chargers,Delhi Daredevils,175,179.0,Delhi Daredevils,0,1
279,280,Royal Challengers Bangalore,Kings XI Punjab,205,120.0,Royal Challengers Bangalore,1,0
280,281,Chennai Super Kings,Kolkata Knight Riders,114,61.0,Chennai Super Kings,1,0
281,282,Mumbai Indians,Delhi Daredevils,178,146.0,Mumbai Indians,1,0
282,283,Kochi Tuskers Kerala,Royal Challengers Bangalore,125,128.0,Royal Challengers Bangalore,0,1
283,284,Kings XI Punjab,Pune Warriors,119,120.0,Pune Warriors,0,1
284,285,Chennai Super Kings,Rajasthan Royals,196,133.0,Chennai Super Kings,1,0
285,286,Deccan Chargers,Pune Warriors,136,137.0,Pune Warriors,0,1
286,287,Kings XI Punjab,Mumbai Indians,163,87.0,Kings XI Punjab,1,0
287,288,Rajasthan Royals,Royal Challengers Bangalore,146,151.0,Royal Challengers Bangalore,0,1
288,289,Chennai Super Kings,Delhi Daredevils,176,158.0,Chennai Super Kings,1,0
289,290,Kochi Tuskers Kerala,Kings XI Punjab,178,181.0,Kings XI Punjab,0,1
290,291,Kolkata Knight Riders,Royal Challengers Bangalore,89,105.0,Royal Challengers Bangalore,0,1
291,292,Deccan Chargers,Mumbai Indians,135,125.0,Deccan Chargers,1,0
292,293,Kings XI Punjab,Delhi Daredevils,170,141.0,Kings XI Punjab,1,0
293,294,Rajasthan Royals,Kochi Tuskers Kerala,97,98.0,Kochi Tuskers Kerala,0,1
294,295,Pune Warriors,Deccan Chargers,136,138.0,Deccan Chargers,0,1
295,296,Kings XI Punjab,Royal Challengers Bangalore,232,121.0,Kings XI Punjab,1,0
296,297,Chennai Super Kings,Kochi Tuskers Kerala,152,141.0,Chennai Super Kings,1,0
297,298,Pune Warriors,Kolkata Knight Riders,118,119.0,Kolkata Knight Riders,0,1
298,299,Mumbai Indians,Rajasthan Royals,133,134.0,Rajasthan Royals,0,1
299,300,Deccan Chargers,Kings XI Punjab,198,116.0,Deccan Chargers,1,0
